Oyster,Bag,Population,Status,Age,Site,Year
29639,1,CT,0,15,RWU,2022
29640,1,MV,1,15,RWU,2022
29641,1,MV,1,15,RWU,2022
29642,1,MV,1,15,RWU,2022
29643,1,CT,1,15,RWU,2022
29644,1,MV,0,15,RWU,2022
29645,1,CT,0,15,RWU,2022
29646,1,CL2,0,15,RWU,2022
29647,1,MV,1,15,RWU,2022
29648,1,MV,0,15,RWU,2022
29649,1,MV,1,15,RWU,2022
29650,1,CL2,0,15,RWU,2022
29651,1,MV,1,15,RWU,2022
29652,1,CT,0,15,RWU,2022
29653,1,MV,0,15,RWU,2022
29654,1,MV,1,15,RWU,2022
29655,1,MV,0,15,RWU,2022
29656,1,MV,0,15,RWU,2022
29657,1,MV,1,15,RWU,2022
29658,1,MV,0,15,RWU,2022
29659,1,CT,0,15,RWU,2022
29660,1,MV,1,15,RWU,2022
29661,1,MV,1,15,RWU,2022
29662,1,MV,0,15,RWU,2022
29663,1,MV,1,15,RWU,2022
29664,1,MV,1,15,RWU,2022
29665,1,CL2,1,15,RWU,2022
29666,1,CT,0,15,RWU,2022
29667,1,MV,0,15,RWU,2022
29668,1,CL2,0,15,RWU,2022
29669,1,CT,0,15,RWU,2022
29670,1,CT,1,15,RWU,2022
29671,1,MV,1,15,RWU,2022
29672,1,CT,0,15,RWU,2022
29673,1,MV,1,15,RWU,2022
29674,1,CL2,0,15,RWU,2022
29675,1,MV,0,15,RWU,2022
29676,1,CT,0,15,RWU,2022
29677,1,CL2,0,15,RWU,2022
29678,1,CL2,0,15,RWU,2022
29679,1,MV,1,15,RWU,2022
29680,1,MV,0,15,RWU,2022
29681,1,CL2,0,15,RWU,2022
29682,1,MV,0,15,RWU,2022
29683,1,MV,1,15,RWU,2022
29684,1,MV,0,15,RWU,2022
29685,1,MV,1,15,RWU,2022
29686,1,CT,0,15,RWU,2022
29687,1,MV,0,15,RWU,2022
29688,1,MV,1,15,RWU,2022
29689,1,MV,1,15,RWU,2022
29690,1,CL2,1,15,RWU,2022
29691,1,CL2,0,15,RWU,2022
29692,1,CL2,0,15,RWU,2022
29693,1,CL2,0,15,RWU,2022
29694,1,MV,1,15,RWU,2022
29695,1,CL2,1,15,RWU,2022
29696,1,CT,0,15,RWU,2022
29697,1,CL2,1,15,RWU,2022
29698,1,MV,0,15,RWU,2022
29699,1,CL2,0,15,RWU,2022
29700,1,MV,1,15,RWU,2022
29701,1,CL2,1,15,RWU,2022
29702,1,CL2,0,15,RWU,2022
29703,1,CL2,1,15,RWU,2022
29704,1,MV,0,15,RWU,2022
29705,1,CL2,0,15,RWU,2022
29706,1,CL2,0,15,RWU,2022
29707,1,CT,0,15,RWU,2022
29708,1,CL2,0,15,RWU,2022
29709,1,CL2,0,15,RWU,2022
29710,1,CL2,0,15,RWU,2022
29711,1,GH,0,15,RWU,2022
29712,1,CL2,0,15,RWU,2022
29713,1,CL2,0,15,RWU,2022
29714,1,CL2,0,15,RWU,2022
29715,1,CL2,0,15,RWU,2022
29716,1,CL2,1,15,RWU,2022
29717,1,CL2,0,15,RWU,2022
29718,1,CL2,0,15,RWU,2022
29719,1,CL2,0,15,RWU,2022
29720,1,CL2,0,15,RWU,2022
29721,1,CL2,1,15,RWU,2022
29722,1,GH,0,15,RWU,2022
29723,1,GH,0,15,RWU,2022
29724,1,GH,0,15,RWU,2022
29725,1,GH,0,15,RWU,2022
29726,1,CL2,1,15,RWU,2022
29727,1,CL1,1,15,RWU,2022
29728,1,CL2,0,15,RWU,2022
29729,1,GH,1,15,RWU,2022
29730,1,CL2,0,15,RWU,2022
29731,1,CL2,0,15,RWU,2022
29732,1,GH,0,15,RWU,2022
29733,1,CL2,0,15,RWU,2022
29734,1,CL2,0,15,RWU,2022
29735,1,CL2,1,15,RWU,2022
29736,1,CL2,0,15,RWU,2022
29737,1,CL2,1,15,RWU,2022
29738,1,GH,0,15,RWU,2022
29739,1,GH,0,15,RWU,2022
29740,1,GH,0,15,RWU,2022
29741,1,GH,0,15,RWU,2022
29742,1,GH,0,15,RWU,2022
29743,1,GH,0,15,RWU,2022
29744,1,GH,1,15,RWU,2022
29745,1,GH,1,15,RWU,2022
29746,1,GH,0,15,RWU,2022
29747,1,CL1,0,15,RWU,2022
29748,1,CL2,0,15,RWU,2022
29749,1,CL1,0,15,RWU,2022
29750,1,GH,0,15,RWU,2022
29751,1,GH,0,15,RWU,2022
29752,1,CL2,0,15,RWU,2022
29753,1,GH,0,15,RWU,2022
29754,1,GH,0,15,RWU,2022
29755,1,GH,0,15,RWU,2022
29756,1,CL2,1,15,RWU,2022
29757,1,GH,0,15,RWU,2022
29758,1,GH,0,15,RWU,2022
29759,1,GH,0,15,RWU,2022
29760,1,GH,0,15,RWU,2022
29761,1,GH,0,15,RWU,2022
29762,1,GH,0,15,RWU,2022
29763,1,GH,0,15,RWU,2022
29764,1,GH,0,15,RWU,2022
29765,1,CL2,1,15,RWU,2022
29766,1,GH,0,15,RWU,2022
29767,1,CL2,0,15,RWU,2022
29768,1,GH,0,15,RWU,2022
29769,1,GH,0,15,RWU,2022
29770,1,GH,0,15,RWU,2022
29771,1,GH,0,15,RWU,2022
29772,1,GH,0,15,RWU,2022
29773,1,GH,1,15,RWU,2022
29774,1,GH,0,15,RWU,2022
29775,1,CL2,1,15,RWU,2022
29776,1,GH,0,15,RWU,2022
29777,1,CL2,0,15,RWU,2022
29778,1,GH,0,15,RWU,2022
29779,1,CL1,0,15,RWU,2022
29780,1,GH,0,15,RWU,2022
29781,1,CL2,0,15,RWU,2022
29782,1,GH,0,15,RWU,2022
29783,1,GH,0,15,RWU,2022
29784,1,GH,0,15,RWU,2022
29785,1,GH,0,15,RWU,2022
29786,1,GH,0,15,RWU,2022
29787,1,GH,0,15,RWU,2022
29788,1,GH,0,15,RWU,2022
29789,1,GH,0,15,RWU,2022
29790,1,GH,0,15,RWU,2022
29791,1,GH,0,15,RWU,2022
29792,1,CL2,0,15,RWU,2022
29793,1,CL1,0,15,RWU,2022
29794,1,CL2,0,15,RWU,2022
29795,1,GH,0,15,RWU,2022
29796,1,CL1,1,15,RWU,2022
29797,1,GH,0,15,RWU,2022
29798,1,CL2,0,15,RWU,2022
29799,1,CL2,0,15,RWU,2022
29800,1,CL2,1,15,RWU,2022
29801,1,CL1,0,15,RWU,2022
29802,1,GH,0,15,RWU,2022
29803,1,CL1,1,15,RWU,2022
29804,1,CL1,0,15,RWU,2022
29805,1,GH,0,15,RWU,2022
29806,1,GH,0,15,RWU,2022
29807,1,CL1,0,15,RWU,2022
29808,1,CL1,0,15,RWU,2022
29809,1,CL1,0,15,RWU,2022
29810,1,CL1,1,15,RWU,2022
29811,1,CL1,0,15,RWU,2022
29812,1,CL1,1,15,RWU,2022
29813,1,NR,1,10,RWU,2022
29814,1,CL1,0,15,RWU,2022
29815,1,NR,1,10,RWU,2022
29816,1,NR,1,10,RWU,2022
29817,1,CL1,0,15,RWU,2022
29818,1,NR,1,10,RWU,2022
29819,1,CL1,0,15,RWU,2022
29820,1,NR,1,10,RWU,2022
29821,1,NR,1,10,RWU,2022
29822,1,CL1,0,15,RWU,2022
29823,1,CL1,1,15,RWU,2022
29824,1,NR,1,10,RWU,2022
29825,1,NR,1,10,RWU,2022
29826,1,CL1,0,15,RWU,2022
29827,1,CL1,0,15,RWU,2022
29828,1,NR,1,10,RWU,2022
29829,1,NR,1,10,RWU,2022
29830,1,CL1,0,15,RWU,2022
29831,1,NR,1,10,RWU,2022
29832,1,NR,1,10,RWU,2022
29833,1,NR,1,10,RWU,2022
29834,1,CL1,1,15,RWU,2022
29835,1,CL1,0,15,RWU,2022
29836,1,NR,1,10,RWU,2022
29837,1,CL1,0,15,RWU,2022
29838,1,CL1,0,15,RWU,2022
29839,1,CL1,0,15,RWU,2022
29840,1,CL1,0,15,RWU,2022
29841,1,CL1,1,15,RWU,2022
29842,1,NR,1,10,RWU,2022
29843,1,NR,1,10,RWU,2022
29844,1,NR,1,10,RWU,2022
29845,1,NR,1,10,RWU,2022
29846,1,CL1,0,15,RWU,2022
29847,1,NR,1,10,RWU,2022
29848,1,NR,1,10,RWU,2022
29849,1,CL1,0,15,RWU,2022
29850,1,NR,1,10,RWU,2022
29851,1,CL1,1,15,RWU,2022
29852,1,CL1,0,15,RWU,2022
29853,1,CL1,0,15,RWU,2022
29854,1,CL1,1,15,RWU,2022
29855,1,CL1,0,15,RWU,2022
29856,1,NR,1,10,RWU,2022
29857,1,NR,1,10,RWU,2022
29858,1,NR,1,10,RWU,2022
29859,1,NR,1,10,RWU,2022
29860,1,CL1,0,15,RWU,2022
29861,1,NR,1,10,RWU,2022
29862,1,NR,1,10,RWU,2022
29864,1,NR,1,10,RWU,2022
29865,1,CL1,0,15,RWU,2022
29866,1,NR,1,10,RWU,2022
29867,1,CL1,1,15,RWU,2022
29868,1,NR,1,10,RWU,2022
29869,1,CL1,0,15,RWU,2022
29870,1,CL1,0,15,RWU,2022
29871,1,CL1,0,15,RWU,2022
29872,1,CL1,1,15,RWU,2022
29873,1,NR,1,10,RWU,2022
29874,1,CL1,0,15,RWU,2022
29875,1,NR,1,10,RWU,2022
29876,1,CL1,0,15,RWU,2022
29877,1,NR,1,10,RWU,2022
29878,1,NR,1,10,RWU,2022
29879,1,CL1,1,15,RWU,2022
29880,1,CL1,1,15,RWU,2022
29881,1,CL1,0,15,RWU,2022
29882,1,NR,1,10,RWU,2022
29883,1,CL1,0,15,RWU,2022
29884,1,NR,1,10,RWU,2022
29885,1,CL1,0,15,RWU,2022
29886,1,CL1,0,15,RWU,2022
29887,1,NR,1,10,RWU,2022
29888,1,NR,1,10,RWU,2022
29889,1,NR,1,10,RWU,2022
29890,1,NR,1,10,RWU,2022
29891,1,CL1,0,15,RWU,2022
29892,1,CL1,0,15,RWU,2022
29893,1,NR,1,10,RWU,2022
29894,1,NR,1,10,RWU,2022
29895,1,NR,1,10,RWU,2022
29896,1,NR,1,10,RWU,2022
29897,1,NR,1,10,RWU,2022
29898,1,NR,1,10,RWU,2022
29899,1,NR,1,10,RWU,2022
29900,1,NR,1,10,RWU,2022
29901,1,NR,1,10,RWU,2022
29902,1,NR,1,10,RWU,2022
29903,1,NR,1,10,RWU,2022
31904,1,CL1,0,15,RWU,2022
31905,1,NR,1,10,RWU,2022
31906,1,NR,1,10,RWU,2022
31907,1,NR,1,3,RWU,2022
